DATUM;OPEN;HIGH;LOW;KOERS
2017-07-11;686.74;686.74;686.74;686.74000
2017-07-12;692.83;692.83;692.83;692.83000
2017-07-13;695.26;695.26;695.26;695.26000
2017-07-14;696.69;696.69;696.69;696.69000
2017-07-17;695.53;695.53;695.53;695.53000
2017-07-18;689.34;689.34;689.34;689.34000
2017-07-19;696.13;696.13;696.13;696.13000
2017-07-20;691;691;691;691.00000
2017-07-21;688;688;688;688.00000
2017-07-24;687.35;687.35;687.35;687.35000
2017-07-25;688.2;688.2;688.2;688.20000
2017-07-26;690.57;690.57;690.57;690.57000
2017-07-27;689.34;689.34;689.34;689.34000
2017-07-28;683.42;683.42;683.42;683.42000
2017-07-31;681.36;681.36;681.36;681.36000
2017-08-01;683.62;683.62;683.62;683.62000
2017-08-02;681;681;681;681.00000
2017-08-03;679.65;679.65;679.65;679.65000
2017-08-04;686.62;686.62;686.62;686.62000
2017-08-07;685.52;685.52;685.52;685.52000
2017-08-08;687.23;687.23;687.23;687.23000
2017-08-09;685.32;685.32;685.32;685.32000
2017-08-10;678.16;678.16;678.16;678.16000
2017-08-11;674.72;674.72;674.72;674.72000
2017-08-14;680.16;680.16;680.16;680.16000
2017-08-15;682.84;682.84;682.84;682.84000
2017-08-16;685.56;685.56;685.56;685.56000
2017-08-17;677.49;677.49;677.49;677.49000
2017-08-18;674.95;674.95;674.95;674.95000
2017-08-21;671.85;671.85;671.85;671.85000
2017-08-22;679.12;679.12;679.12;679.12000
2017-08-23;675.18;675.18;675.18;675.18000
2017-08-24;674.79;674.79;674.79;674.79000
2017-08-25;672.91;672.91;672.91;672.91000
2017-08-28;668.91;668.91;668.91;668.91000
2017-08-29;664.59;664.59;664.59;664.59000
2017-08-30;671.49;671.49;671.49;671.49000
2017-08-31;677.13;677.13;677.13;677.13000
2017-09-01;679.83;679.83;679.83;679.83000
2017-09-04;677.08;677.08;677.08;677.08000
2017-09-05;673.68;673.68;673.68;673.68000
2017-09-06;674.34;674.34;674.34;674.34000
2017-09-07;672.63;672.63;672.63;672.63000
2017-09-08;672.06;672.06;672.06;672.06000
2017-09-11;679.99;679.99;679.99;679.99000
2017-09-12;683.76;683.76;683.76;683.76000
2017-09-13;685.31;685.31;685.31;685.31000
2017-09-14;686.85;686.85;686.85;686.85000
2017-09-15;683.16;683.16;683.16;683.16000
2017-09-18;684.65;684.65;684.65;684.65000
2017-09-19;685.31;685.31;685.31;685.31000
2017-09-20;685.13;685.13;685.13;685.13000
2017-09-21;686.36;686.36;686.36;686.36000
2017-09-22;685.23;685.23;685.23;685.23000
2017-09-25;689.18;689.18;689.18;689.18000
2017-09-26;692.99;692.99;692.99;692.99000
2017-09-27;696.83;696.83;696.83;696.83000
2017-09-28;695.39;695.39;695.39;695.39000
2017-09-29;696.12;696.12;696.12;696.12000
2017-10-02;702.58;702.58;702.58;702.58000
2017-10-03;703.36;703.36;703.36;703.36000
2017-10-04;703.52;703.52;703.52;703.52000
2017-10-05;708.08;708.08;708.08;708.08000
2017-10-06;706.34;706.34;706.34;706.34000
2017-10-09;705.81;705.81;705.81;705.81000
2017-10-10;704.27;704.27;704.27;704.27000
2017-10-11;703.68;703.68;703.68;703.68000
2017-10-12;703.42;703.42;703.42;703.42000
2017-10-13;705.74;705.74;705.74;705.74000
2017-10-16;708.72;708.72;708.72;708.72000
2017-10-17;710.47;710.47;710.47;710.47000
2017-10-18;709.97;709.97;709.97;709.97000
2017-10-19;706.33;706.33;706.33;706.33000
2017-10-20;711.01;711.01;711.01;711.01000
2017-10-23;711.86;711.86;711.86;711.86000
2017-10-24;711.28;711.28;711.28;711.28000
2017-10-25;705.66;705.66;705.66;705.66000
2017-10-26;712.87;712.87;712.87;712.87000
2017-10-27;723.23;723.23;723.23;723.23000
2017-10-30;720.56;720.56;720.56;720.56000
2017-10-31;719.97;719.97;719.97;719.97000
2017-11-01;723.68;723.68;723.68;723.68000
2017-11-02;721.03;721.03;721.03;721.03000
2017-11-03;725.12;725.12;725.12;725.12000
2017-11-06;727.45;727.45;727.45;727.45000
